platform	month	eq. cross. time	node
AVN12	1995-06-01	19:09:53.385047	ascending
AVN12	1995-07-01	19:08:32.089295	ascending
AVN12	1995-08-01	19:07:06.824281	ascending
AVN12	1995-09-01	19:05:40.788569	ascending
AVN12	1995-10-01	19:04:15.265831	ascending
AVN12	1995-11-01	19:02:43.796801	ascending
AVN12	1995-12-01	19:01:12.130495	ascending
AVN12	1996-01-01	18:59:33.720207	ascending
AVN12	1996-02-01	18:57:55.448779	ascending
AVN12	1996-03-01	18:56:21.594713	ascending
AVN12	1996-04-01	18:54:40.634560	ascending
AVN12	1996-05-01	18:53:01.410353	ascending
AVN12	1996-06-01	18:51:16.307947	ascending
AVN12	1996-07-01	18:49:32.924498	ascending
AVN12	1996-08-01	18:47:46.012842	ascending
AVN12	1996-09-01	18:45:58.187837	ascending
AVN12	1996-10-01	18:44:12.455562	ascending
AVN12	1996-11-01	18:42:21.323843	ascending
AVN12	1996-12-01	18:40:31.046195	ascending
AVN12	1997-01-01	18:38:33.749061	ascending
AVN12	1997-02-01	18:36:36.690239	ascending
AVN12	1997-03-01	18:34:50.934013	ascending
AVN12	1997-04-01	18:32:52.669610	ascending
AVN12	1997-05-01	18:30:58.122300	ascending
AVN12	1997-06-01	18:28:57.062003	ascending
AVN12	1997-07-01	18:27:01.325207	ascending
AVN12	1997-08-01	18:25:00.244122	ascending
AVN12	1997-09-01	18:22:58.596703	ascending
AVN12	1997-10-01	18:21:00.942130	ascending
AVN12	1997-11-01	18:18:57.951859	ascending
AVN12	1997-12-01	18:16:56.047694	ascending
AVN12	1998-01-01	18:14:49.137986	ascending
AVN12	1998-02-01	18:12:43.130183	ascending
AVN12	1998-03-01	18:10:49.987420	ascending
AVN12	1998-04-01	18:08:44.614378	ascending
AVN12	1998-05-01	18:06:44.251650	ascending
AVN12	1998-06-01	18:04:38.362586	ascending
AVN12	1998-07-01	18:02:36.287834	ascending
AVN12	1998-08-01	18:00:29.637513	ascending
AVN12	1998-09-01	17:58:24.782574	ascending
AVN12	1998-10-01	17:56:25.120927	ascending
AVN12	1998-11-01	17:54:19.697195	ascending
AVN12	1998-12-01	17:52:18.324187	ascending
AVN14	1995-02-01	01:39:45.845953	descending
AVN14	1995-03-01	01:40:08.468914	descending
AVN14	1995-06-01	01:42:30.170826	descending
AVN14	1995-07-01	01:43:06.030543	descending
AVN14	1995-10-01	01:45:49.456175	descending
AVN14	1996-01-01	01:48:45.421233	descending
AVN14	1996-02-01	01:50:02.287463	descending
AVN14	1996-05-01	01:53:31.534070	descending
AVN14	1996-08-01	01:57:34.901057	descending
AVN14	1996-09-01	01:59:06.533220	descending
AVN14	1996-11-01	02:02:17.387077	descending
AVN14	1996-12-01	02:03:43.012614	descending
AVN14	1997-02-01	02:07:23.882662	descending
AVN14	1997-03-01	02:09:04.494407	descending
AVN14	1997-04-01	02:10:46.953828	descending
AVN14	1997-06-01	02:14:49.879734	descending
AVN14	1997-07-01	02:16:54.092855	descending
AVN14	1997-09-01	02:20:50.527764	descending
AVN14	1997-10-01	02:23:06.419948	descending
AVN14	1997-12-01	02:27:36.656702	descending
AVN14	1998-01-01	02:29:51.403327	descending
AVN14	1998-04-01	02:37:23.857703	descending
AVN14	1998-06-01	02:42:35.255584	descending
AVN14	1998-07-01	02:45:26.753783	descending
AVN14	1998-09-01	02:50:52.612605	descending
AVN14	1998-10-01	02:53:42.834443	descending
AVN14	1998-12-01	02:59:52.508606	descending
AVN14	1999-02-01	03:05:58.410159	descending
AVN14	1999-03-01	03:09:04.904366	descending
AVN14	1999-05-01	03:15:40.742675	descending
AVN14	1999-06-01	03:19:02.684722	descending
AVN14	1999-08-01	03:26:17.787732	descending
AVN14	1999-10-01	03:33:11.438852	descending
AVN14	1999-12-01	03:40:53.532153	descending
AVN14	2000-02-01	03:48:27.927613	descending
AVN14	2000-03-01	03:52:14.992480	descending
AVN14	2000-05-01	04:00:33.263403	descending
AVN14	2000-07-01	04:08:41.960651	descending
AVN14	2000-08-01	04:13:11.354891	descending
AVN14	2000-10-01	04:21:39.450554	descending
AVN14	2000-12-01	04:30:34.950012	descending
AVN14	2001-05-01	04:53:24.549609	descending
AVN14	2001-07-01	05:02:38.841183	descending
AVN14	2001-08-01	05:07:34.908530	descending
AVN14	2001-10-01	05:17:21.375699	descending
AVN14	2001-11-01	05:22:08.836150	descending
AVN14	2002-01-01	05:32:09.280823	descending
AVN14	2002-02-01	05:37:10.292374	descending
AVN14	2002-04-01	05:46:36.394747	descending
AVN14	2002-05-01	05:51:45.129882	descending
AVN14	2002-09-01	06:12:01.295927	descending
AVN14	2002-10-01	06:17:05.590656	descending
AVN15	1998-10-01	19:31:21.202272	ascending
AVN15	1998-11-01	19:31:39.457105	ascending
AVN15	1998-12-01	19:31:53.466254	ascending
AVN15	1999-01-01	19:32:03.876261	ascending
AVN15	1999-02-01	19:32:12.876221	ascending
AVN15	1999-03-01	19:32:18.893309	ascending
AVN15	1999-04-01	19:32:23.231805	ascending
AVN15	1999-05-01	19:32:23.701013	ascending
AVN15	1999-06-01	19:32:21.908214	ascending
AVN15	1999-07-01	19:32:19.319193	ascending
AVN15	1999-08-01	19:32:15.011687	ascending
AVN15	1999-09-01	19:32:08.454614	ascending
AVN15	1999-10-01	19:31:59.822465	ascending
AVN15	1999-11-01	19:31:48.463821	ascending
AVN15	1999-12-01	19:31:33.064382	ascending
AVN15	2000-01-01	19:31:12.582336	ascending
AVN15	2000-02-01	19:30:51.913550	ascending
AVN15	2000-03-01	19:30:31.021053	ascending
AVN15	2000-04-01	19:30:04.683662	ascending
AVN15	2000-05-01	19:29:37.568615	ascending
AVN15	2000-06-01	19:29:06.908761	ascending
AVN15	2000-07-01	19:28:35.049728	ascending
AVN15	2000-08-01	19:28:02.422280	ascending
AVN15	2000-09-01	19:27:27.534004	ascending
AVN15	2000-10-01	19:26:52.770531	ascending
AVN15	2000-11-01	19:26:12.067297	ascending
AVN15	2000-12-01	19:25:30.235067	ascending
AVN15	2001-01-01	19:24:42.938234	ascending
AVN15	2001-02-01	19:23:53.852697	ascending
AVN15	2001-03-01	19:23:08.240943	ascending
AVN15	2001-04-01	19:22:15.106622	ascending
AVN15	2001-05-01	19:21:22.292574	ascending
AVN15	2001-06-01	19:20:24.798936	ascending
AVN15	2001-07-01	19:19:26.870769	ascending
AVN15	2001-08-01	19:18:27.243713	ascending
AVN15	2001-09-01	19:17:25.222898	ascending
AVN15	2001-10-01	19:16:23.274476	ascending
AVN15	2001-11-01	19:15:17.222754	ascending
AVN15	2001-12-01	19:14:10.561609	ascending
AVN15	2002-01-01	19:12:58.131311	ascending
AVN15	2002-02-01	19:11:44.324163	ascending
AVN15	2002-03-01	19:10:36.759271	ascending
AVN15	2002-04-01	19:09:21.619059	ascending
AVN15	2002-05-01	19:08:06.556742	ascending
AVN15	2002-06-01	19:06:47.126590	ascending
AVN15	2002-07-01	19:05:27.642593	ascending
AVN15	2002-08-01	19:04:05.215388	ascending
AVN15	2002-09-01	19:02:43.358112	ascending
AVN15	2002-10-01	19:01:20.606461	ascending
AVN15	2002-11-01	18:59:55.116775	ascending
AVN15	2002-12-01	18:58:27.476517	ascending
AVN15	2003-01-01	18:56:53.672387	ascending
AVN15	2003-02-01	18:55:20.237440	ascending
AVN15	2003-03-01	18:53:54.359615	ascending
AVN15	2003-04-01	18:52:19.042507	ascending
AVN15	2003-05-01	18:50:44.526128	ascending
AVN15	2003-06-01	18:49:05.368133	ascending
AVN15	2003-07-01	18:47:27.897629	ascending
AVN15	2003-08-01	18:45:46.307864	ascending
AVN15	2003-09-01	18:44:04.445245	ascending
AVN15	2003-10-01	18:42:24.735597	ascending
AVN15	2003-11-01	18:40:40.152816	ascending
AVN15	2003-12-01	18:38:55.872744	ascending
AVN15	2004-01-01	18:37:06.907868	ascending
AVN15	2004-02-01	18:35:15.887839	ascending
AVN15	2004-03-01	18:33:32.308955	ascending
AVN15	2004-04-01	18:31:41.635087	ascending
AVN15	2004-05-01	18:29:53.586973	ascending
AVN15	2004-06-01	18:27:59.834241	ascending
AVN15	2004-07-01	18:26:08.795420	ascending
AVN15	2004-08-01	18:24:16.072288	ascending
AVN15	2004-09-01	18:22:20.587261	ascending
AVN15	2004-10-01	18:20:29.821745	ascending
AVN15	2004-11-01	18:18:32.288641	ascending
AVN15	2004-12-01	18:16:38.672953	ascending
AVN15	2005-01-01	18:14:38.238566	ascending
AVN15	2005-02-01	18:12:38.560523	ascending
AVN15	2005-03-01	18:10:51.121172	ascending
AVN15	2005-04-01	18:08:54.108341	ascending
AVN15	2005-05-01	18:07:00.179823	ascending
AVN15	2005-06-01	18:04:59.945857	ascending
AVN15	2005-07-01	18:03:03.158830	ascending
AVN15	2005-08-01	18:01:03.736905	ascending
AVN15	2005-09-01	17:59:05.185868	ascending
AVN15	2005-10-01	17:57:11.640118	ascending
AVN15	2005-11-01	17:55:13.025816	ascending
AVN15	2005-12-01	17:53:17.197033	ascending
AVN15	2006-01-01	17:51:16.359584	ascending
AVN15	2006-02-01	17:49:16.202043	ascending
AVN15	2006-03-01	17:47:29.649012	ascending
AVN15	2006-04-01	17:45:34.112966	ascending
AVN15	2006-05-01	17:43:41.264302	ascending
AVN15	2006-06-01	17:41:47.541520	ascending
AVN15	2006-07-01	17:39:55.893647	ascending
AVN15	2006-08-01	17:38:00.010602	ascending
AVN15	2006-09-01	17:36:06.546601	ascending
AVN15	2006-10-01	17:34:17.738175	ascending
AVN15	2006-11-01	17:32:26.153765	ascending
AVN15	2006-12-01	17:30:37.527288	ascending
AVN15	2007-01-01	17:28:45.889470	ascending
AVN15	2007-02-01	17:26:55.390654	ascending
AVN15	2007-03-01	17:25:16.586285	ascending
AVN15	2007-04-01	17:23:32.284271	ascending
AVN15	2007-05-01	17:21:51.107304	ascending
AVN15	2007-06-01	17:20:08.341343	ascending
AVN15	2007-07-01	17:18:29.569660	ascending
AVN15	2007-08-01	17:16:46.856450	ascending
AVN15	2007-09-01	17:15:08.530948	ascending
