platform	month	eq. cross. time	node
NOAA14	1997-09-01	14:21:07.920686	ascending
NOAA14	1997-10-01	14:23:14.957154	ascending
NOAA14	1997-11-01	14:25:30.089368	ascending
NOAA14	1997-12-01	14:27:45.418248	ascending
NOAA14	1998-01-01	14:30:08.993242	ascending
NOAA14	1998-02-01	14:32:36.707715	ascending
NOAA14	1998-03-01	14:34:54.265598	ascending
NOAA14	1998-04-01	14:37:29.894259	ascending
NOAA14	1998-05-01	14:40:05.213476	ascending
NOAA14	1998-06-01	14:42:48.953235	ascending
NOAA14	1998-07-01	14:45:29.595237	ascending
NOAA14	1998-08-01	14:48:17.497464	ascending
NOAA14	1998-09-01	14:51:08.241582	ascending
NOAA14	1998-10-01	14:53:58.283901	ascending
NOAA14	1998-11-01	14:56:57.155423	ascending
NOAA14	1998-12-01	14:59:54.892417	ascending
NOAA14	1999-01-01	15:03:03.455782	ascending
NOAA14	1999-02-01	15:06:14.977163	ascending
NOAA14	1999-03-01	15:09:11.898676	ascending
NOAA14	1999-04-01	15:12:32.130114	ascending
NOAA14	1999-05-01	15:15:51.402412	ascending
NOAA14	1999-06-01	15:19:20.425932	ascending
NOAA14	1999-07-01	15:22:44.942846	ascending
NOAA14	1999-08-01	15:26:18.967679	ascending
NOAA14	1999-09-01	15:29:54.352983	ascending
NOAA14	1999-10-01	15:33:29.053617	ascending
NOAA14	1999-11-01	15:37:13.174919	ascending
NOAA14	1999-12-01	15:40:55.151780	ascending
NOAA14	2000-01-01	15:44:48.855763	ascending
NOAA14	2000-02-01	15:48:44.594640	ascending
NOAA14	2000-03-01	15:52:29.155204	ascending
NOAA14	2000-04-01	15:56:35.541982	ascending
NOAA14	2000-05-01	16:00:36.932294	ascending
NOAA14	2000-06-01	16:04:50.661481	ascending
NOAA14	2000-07-01	16:08:57.862298	ascending
NOAA14	2000-08-01	16:13:16.003543	ascending
NOAA14	2000-09-01	16:17:35.798846	ascending
NOAA14	2000-10-01	16:21:52.394767	ascending
NOAA14	2000-11-01	16:26:19.483692	ascending
NOAA14	2000-12-01	16:30:41.665907	ascending
NOAA14	2001-01-01	16:35:15.356561	ascending
NOAA14	2001-02-01	16:39:51.874153	ascending
NOAA14	2001-03-01	16:44:03.935189	ascending
NOAA14	2001-04-01	16:48:48.832559	ascending
NOAA14	2001-05-01	16:53:25.996673	ascending
NOAA14	2001-06-01	16:58:15.989909	ascending
NOAA14	2001-07-01	17:02:56.127129	ascending
NOAA14	2001-08-01	17:07:47.208506	ascending
NOAA14	2001-09-01	17:12:40.211236	ascending
NOAA14	2001-10-01	17:17:26.598934	ascending
NOAA14	2001-11-01	17:22:25.113502	ascending
NOAA14	2001-12-01	17:27:13.194017	ascending
NOAA14	2002-01-01	17:32:12.258661	ascending
NOAA14	2002-02-01	17:37:13.868262	ascending
NOAA14	2002-03-01	17:41:47.613252	ascending
NOAA14	2002-04-01	17:46:52.872830	ascending
NOAA14	2002-05-01	17:51:50.866580	ascending
NOAA14	2002-06-01	17:56:57.939288	ascending
NOAA14	2002-07-01	18:01:54.288097	ascending
NOAA14	2002-08-01	18:07:02.835459	ascending
NOAA14	2002-09-01	18:12:09.021358	ascending
NOAA14	2002-10-01	18:17:06.902008	ascending
NOAA15	1998-10-01	19:31:21.202272	ascending
NOAA15	1998-11-01	19:31:39.457105	ascending
NOAA15	1998-12-01	19:31:53.466254	ascending
NOAA15	1999-01-01	19:32:03.876261	ascending
NOAA15	1999-02-01	19:32:12.876221	ascending
NOAA15	1999-03-01	19:32:18.893309	ascending
NOAA15	1999-04-01	19:32:23.231805	ascending
NOAA15	1999-05-01	19:32:23.701013	ascending
NOAA15	1999-06-01	19:32:21.908214	ascending
NOAA15	1999-07-01	19:32:19.319193	ascending
NOAA15	1999-08-01	19:32:15.011687	ascending
NOAA15	1999-09-01	19:32:08.454614	ascending
NOAA15	1999-10-01	19:31:59.822465	ascending
NOAA15	1999-11-01	19:31:48.463821	ascending
NOAA15	1999-12-01	19:31:33.064382	ascending
NOAA15	2000-01-01	19:31:12.582336	ascending
NOAA15	2000-02-01	19:30:51.913550	ascending
NOAA15	2000-03-01	19:30:31.021053	ascending
NOAA15	2000-04-01	19:30:04.683662	ascending
NOAA15	2000-05-01	19:29:37.568615	ascending
NOAA15	2000-06-01	19:29:06.908761	ascending
NOAA15	2000-07-01	19:28:35.049728	ascending
NOAA15	2000-08-01	19:28:02.422280	ascending
NOAA15	2000-09-01	19:27:27.534004	ascending
NOAA15	2000-10-01	19:26:52.770531	ascending
NOAA15	2000-11-01	19:26:12.067297	ascending
NOAA15	2000-12-01	19:25:30.235067	ascending
NOAA15	2001-01-01	19:24:42.938234	ascending
NOAA15	2001-02-01	19:23:53.852697	ascending
NOAA15	2001-03-01	19:23:08.240943	ascending
NOAA15	2001-04-01	19:22:15.106622	ascending
NOAA15	2001-05-01	19:21:22.292574	ascending
NOAA15	2001-06-01	19:20:24.798936	ascending
NOAA15	2001-07-01	19:19:26.870769	ascending
NOAA15	2001-08-01	19:18:27.243713	ascending
NOAA15	2001-09-01	19:17:25.222898	ascending
NOAA15	2001-10-01	19:16:23.274476	ascending
NOAA15	2001-11-01	19:15:17.222754	ascending
NOAA15	2001-12-01	19:14:10.561609	ascending
NOAA15	2002-01-01	19:12:58.131311	ascending
NOAA15	2002-02-01	19:11:44.324163	ascending
NOAA15	2002-03-01	19:10:36.759271	ascending
NOAA15	2002-04-01	19:09:21.619059	ascending
NOAA15	2002-05-01	19:08:06.556742	ascending
NOAA15	2002-06-01	19:06:47.126590	ascending
NOAA15	2002-07-01	19:05:27.642593	ascending
NOAA15	2002-08-01	19:04:05.215388	ascending
NOAA15	2002-09-01	19:02:43.358112	ascending
NOAA15	2002-10-01	19:01:20.606461	ascending
NOAA15	2002-11-01	18:59:55.116775	ascending
NOAA15	2002-12-01	18:58:27.476517	ascending
NOAA15	2003-01-01	18:56:53.672387	ascending
NOAA15	2003-02-01	18:55:20.237440	ascending
NOAA15	2003-03-01	18:53:54.359615	ascending
NOAA15	2003-04-01	18:52:19.042507	ascending
NOAA15	2003-05-01	18:50:44.526128	ascending
NOAA15	2003-06-01	18:49:05.368133	ascending
NOAA15	2003-07-01	18:47:27.897629	ascending
NOAA15	2003-08-01	18:45:46.307864	ascending
NOAA15	2003-09-01	18:44:04.445245	ascending
